GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
practica3,es.uma.informatica.practica3.entidades,Producto,34,31,6,0,9,6,5,9,2,9
practica3,es.uma.informatica.practica3.entidades,Ingrediente,6,45,3,3,3,10,3,7,0,7
practica3,es.uma.informatica.practica3.dtos,ProductoDTO,0,135,0,0,0,32,0,16,0,16
practica3,es.uma.informatica.practica3.dtos,Links.LinksBuilder,5,14,0,0,0,1,1,3,1,3
practica3,es.uma.informatica.practica3.dtos,IngredienteDTO,0,78,0,0,0,19,0,11,0,11
practica3,es.uma.informatica.practica3.dtos,IngredienteDTO.IngredienteDTOBuilder,14,23,0,0,0,1,2,4,2,4
practica3,es.uma.informatica.practica3.dtos,ProductoDTO.ProductoDTOBuilder,24,32,0,0,0,1,3,5,3,5
practica3,es.uma.informatica.practica3.dtos,Links,0,20,0,0,0,5,0,5,0,5
practica3,es.uma.informatica.practica3.servicios.excepciones,EntidadExistenteException,0,3,0,0,0,1,0,1,0,1
practica3,es.uma.informatica.practica3.servicios.excepciones,EntidadNoEncontradaException,0,3,0,0,0,1,0,1,0,1
practica3,es.uma.informatica.practica3,Practica3Application,5,3,0,0,2,1,1,1,1,1
practica3,es.uma.informatica.practica3.servicios,ProductoServicio,31,172,6,14,7,45,7,18,2,13
practica3,es.uma.informatica.practica3.controladores,ProductoRest,0,97,0,0,0,32,0,11,0,11
practica3,es.uma.informatica.practica3.controladores,IngredienteRest,17,72,0,0,5,21,2,9,2,9
